EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status..................................,
2651015,1,1/3/1956,1,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,7,8.8,6.6,0.4,0,0,9.2,7.6,0.3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,........................
2651015,1,1/4/1956,1,72.7,211.7,28,8,1,1,0,,0,16.2,0,0,0,4.2,49,23.8,1.6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,72.7,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,..
2651015,1,1/5/1956,1,75,168.4,5,7,1,1,0,,0,0,24.2,0,0,75,0,0,27,2.4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1.8,0,0,0,0,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.
2651015,1,1/6/1956,1,36.2,82.8,26,9,1,1,0,,0,0,4.9,0,7.4,0,0,0,0,0.8,0,0,0.4,0,0,19.6,0,0,3,0,0,0,0,0,8,0,36.2,2.5,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,..
2651015,1,1/7/1956,1,35,86.9,31,8,1,1,0,,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,1,0,0,0,16.1,0,0,0.5,0,2.8,0.4,0,0,12.9,0,0,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.
2651015,1,1/8/1956,1,27.4,106,1,8,1,1,0,,0,27.4,0,9.2,0,0,0,0,0,0,0,1.8,10.4,0,0,0,0,0,0,23.2,25.8,0,4,4.2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.
2651015,1,1/9/1956,1,39,165.7,14,8,1,1,0,,0,0,0,0,0,0,13.1,0,0,0,28,0,0,0,39,0,37,0,3.1,0.9,7.7,0,0,0,0,0,36.9,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,..
2651015,1,1/10/1956,1,30.4,57.8,30,5,1,1,0,,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,19.1,0,0,0,0,2.9,0,0,30.4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.
2651015,1,1/11/1956,1,16.9,40.2,24,6,1,1,0,,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,16.9,5.4,4,3.2,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,..
2651015,1,1/12/1956,1,46.5,101.2,21,5,1,1,0,,0,0,0,0,0,0,16.3,0,0,0,0,0,0,0,24.2,0,0,0,0,5.2,0,46.5,9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.
