EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status
2651020,1,1/11/76,1,40.8,132,6,9,1,1,0,1614.5,1,3,0,0,35.8,26.4,40.8,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2,9.4,0,0,0,0,0,0,0,9,5.4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/12/76,1,41.2,168,1,11,1,1,0,1614.5,1,41.2,23.2,0,0,0,3,0,15.8,7.6,0,0,0,0,0,0,22.8,0,0,0,0,13.2,0,1,13.8,0,0,18.8,7.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/1/77,1,37,226.9,31,17,1,1,0,1804,1,0,0,6.6,32.2,18.2,7.6,1.2,0,6.6,5.1,8.1,21.3,4.2,0,17.2,0,5.2,26.8,17.2,2.4,0,0,0,0,0,0,0,0,10,0,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/2/77,1,61,166.8,3,15,1,1,0,1804,1,10,0,61,1,0,19,7.8,0.8,44,1,2.8,0,3.2,5,1,0,0,0,0,0,0,1.4,8,0.8,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2651020,1,1/3/77,1,38.4,228,2,19,1,1,0,1804,1,0,38.4,6.2,36.2,0,3,9.2,0.8,0,0,0,0,7.4,1.2,2.6,20.4,0,0,0,0,32.2,4,6.8,1.4,0,0,23.6,5.8,16.8,5.2,6.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/4/77,1,16.2,63.6,9,11,1,1,0,1804,1,8.8,0,1,3.6,0.4,0,0,0,16.2,6.2,0,0,0,0,0,0,0,7.8,1,8.8,7,0,2.8,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/5/77,1,14.8,28.4,16,5,1,1,0,1804,1,0,0,0,0,0,0,0.6,0,0,0,2.8,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0.8,0,0,9.4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/6/77,1,92.2,199.3,20,9,1,1,0,1804,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.1,13.8,0,0.4,0,92.2,24.4,31,0,3,28.4,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/7/77,1,40.8,91.4,24,6,1,1,0,1804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3.2,18,0,0,0,0,0,24.4,0,40.8,0,0,0,0,2.2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/8/77,1,32.6,124,17,10,1,1,0,1804,1,6.4,16.4,0,0,0,0,0,0,0,0,0,0,0,6.6,4.8,17.6,32.6,0,0,0,0,0,0,10,1.6,0,0,0,0,16.6,11.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/9/77,1,52,96.2,17,12,1,1,0,1804,1,4,1.8,0,0,0,0,13,6.8,0,0,0,0,0,0,0,4,52,3.4,2.4,1,0.6,0,0,2.4,0,0,0,0,0,4.8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/10/77,1,50,233,13,11,1,1,0,1804,1,47.2,14.6,0,0,0,0,0,0,0,0,0,5.6,50,18.2,0,17,39.2,10.4,0,0,0,0,0,0,18.2,8,4.6,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/11/77,1,48.4,161.2,11,15,1,1,0,1804,1,33.4,12.4,0,0,1,9.4,11,0.6,0.6,7.2,48.4,11.4,0,0,0,0,5,0,0,0,0,0,0.6,3,11,0,0,6.2,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
