EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status..................................,
2651004,2,1/3/1983,1,60.8,173.6,4,9,1,1,0,2991.199951,2,10,0,14.6,60.8,0,3.2,10.4,0,0,0,0,0,16.4,0,0,0,0,16,30.8,0,0,0,0,0,0,0,0,0,0,0,11.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/4/1983,1,46.6,158.6,19,9,1,1,0,2991.199951,2,3.6,0,0,0,15.4,18.8,0,0,0,0,0,0,0,0,0,0,0,27.8,46.6,0,0,0,0,22.8,13.6,3.2,0,0,0,6.8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/5/1983,1,148.8,429.8,20,15,1,1,0,2991.199951,2,8,0,4.2,0,0,0,0,39.2,1.4,53.6,39.8,7.8,0,3.8,0,0,12.4,0,38.6,148.8,0,0,0,9.4,0,0,0,33.2,20.4,0,9.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/6/1983,1,43.4,134.8,12,11,1,1,0,2991.199951,2,0,0,0,1.4,0,0,0,0,15.6,5,0,43.4,9.6,9.8,0,0,0,0,0,0,0,0,0,24.4,9.8,3.2,8.8,0,3.8,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/7/1983,1,141.8,782.2,9,19,1,1,0,2991.199951,2,2.2,0,5.8,0,0,26.8,93.6,100.8,141.8,93,15,54.8,30,5.2,0,35,10.4,0,0,0,0,0,0,3.4,19.2,64,40.8,38.4,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/8/1983,1,,29.7,,,0,2,0,2991.199951,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,................................
2651004,2,1/9/1983,1,,238.4,,,0,2,0,2991.199951,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,................................
2651004,2,1/10/1983,1,,202.3,,,0,2,0,2991.199951,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,................................
2651004,2,1/11/1983,1,45.2,187.3,3,10,1,1,0,2991.199951,2,0.3,0,45.2,0,3.6,0,0,0,0,0,20.6,24.4,7.4,0,0,0,0,0,24,36.8,0,21.8,0,0,0,0,0,3.2,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/12/1983,1,42.2,244.9,19,15,1,1,0,2991.199951,2,0,0.3,0,0,0,35.8,11,0,0,0,34.8,0,0,0,0,13.4,15.6,12.2,42.2,34.4,7.8,8,0,0,0,0,0,4.6,8.8,11.4,4.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/1/1984,1,9.2,74,2,13,1,1,0,1815.800049,1,0,9.2,0,5.8,0,0,0,0,0,0,5.2,5.6,9,8.6,0,3.8,0,2.4,0,2.4,0,0,0,0,0,4.8,0,0,7.8,8.2,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/2/1984,1,44.6,103.4,17,8,1,1,0,1815.800049,1,7,10.2,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,44.6,0,0,0,0,16.2,0,1.8,0,0,0,12.2,5.8,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,..
2651004,2,1/3/1984,1,83.8,205.8,20,12,1,1,0,1815.800049,1,1.2,7,3.8,3.6,0,0,3,9.2,0,0,0,0,0,0,0,0,0,4.8,5.4,83.8,21.2,0,0,0,0,0,0,0,26.2,36.6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/4/1984,1,28.2,91.2,24,7,1,1,0,1815.800049,1,0,21.6,0,0,0,0,0,0,0,0,0,0,0,23.2,1.4,0,0,6.6,0,0,0,0,0,28.2,0,0,0,0,6.2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/5/1984,1,35.8,127.8,14,10,1,1,0,1815.800049,1,0,0,0,0,0,0,0,9.2,17,12.2,9.8,4.2,3.8,35.8,0,0,9.2,20.2,0,0,0,0,0,0,0,0,0,0,0,6.4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/6/1984,1,100.8,247.2,15,9,1,1,0,1815.800049,1,0,0,0,0,0,3.6,3.8,0,0,7.8,0,0,70.8,15.4,100.8,15.4,26.8,0,0,0,0,0,0,0,0,0,2.8,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/7/1984,1,25.6,65.8,13,4,1,1,0,1815.800049,1,0,0,0,21.6,0,0,4.2,0,0,0,0,0,25.6,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/8/1984,1,104.2,361.8,6,14,1,1,0,1815.800049,1,0,49.4,5.6,0,0,104.2,50.2,25,0,0.6,0,0,0,2.2,0,9.4,0,0,2.4,3,9.6,52.2,37.8,0,10.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/9/1984,1,92.6,138.2,26,7,1,1,0,1815.800049,1,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,7.2,0,0,0,0,16.8,4.8,0,0,0,6.6,92.6,0.8,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/10/1984,1,16.2,54.2,7,4,1,1,0,1815.800049,1,0,0,0,0,0,14.4,16.2,0,0,7.4,0,0,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
